number,name,latitude,longitude
1,김밥천국,33.46025,126.56097
2,메가커피,33.46034,126.56154
3,서브웨이,33.46034,126.56203
4,카페봄봄,33.46035,126.56123
5,콘킹부대찌개,33.46070,126.56106
6,백다방,33.46088, 126.56104
7,산들애국수,33.46083, 126.56148
8,봉구스밥버거,33.46069, 126.56152
